error_hex	error_dec	WeenieError	WeenieErrorWithString	handler_va	message
0x17	23	BadMovementEvent		0x00571ABD	You failed to go to non-combat mode.
0x1D	29	YoureTooBusy		0x00571A62	You're too busy!
0x1E	30		IsTooBusyToAcceptGifts	0x00572AF9	 is too busy to accept gifts right now.\n
0x20	32	IllegalInventoryTransaction		0x00571AEF	You must control both objects!
0x23	35	MotionFailure		0x00571B18	Unable to move to object!
0x24	36	YouCantJumpWhileInTheAir		0x00571D94	
0x26	38	ThatIsNotAValidCommand		0x00571C6B	That is not a valid command.
0x28	40	Frozen		0x00571BB5	The item is under someone else's control!
0x29	41	Stuck		0x00571BDE	You cannot pick that up!
0x2A	42	YouAreTooEncumbered		0x00571C10	You are too encumbered to carry that!
0x2B	43		CannotCarryAnymore	0x00571C94	 cannot carry anymore.\n
0x36	54	ActionCancelled		0x00571B83	Action cancelled!
0x37	55	ObjectGone		0x00571B18	Unable to move to object!
0x38	56	NoObject		0x00571B18	Unable to move to object!
0x39	57	CantGetThere		0x00571B18	Unable to move to object!
0x3A	58	Dead		0x00571A94	You can't do that... you're dead!
0x3D	61	YouChargedTooFar		0x00571B5A	You charged too far!
0x3E	62	YouAreTooTiredToDoThat		0x00571C39	You are too tired to do that!
0x48	72	YouCantJumpFromThisPosition		0x00571D66	
0x49	73	CantJumpLoadedDown		0x00571D7D	
0x4A	74	YouKilledYourself		0x00571D34	Ack! You killed yourself!\n
0x4D	77	InvalidPkStatus		0x00571CD8	Invalid PK status!
0x4E	78		YouFailToAffect_YouCannotAffectAnyone	0x00571D01	You fail to affect %s because you cannot affect anyone!\n
0x4F	79		YouFailToAffect_TheyCannotBeHarmed	0x00571DAB	You fail to affect %s because $s cannot be harmed!\n
0x50	80		YouFailToAffect_WithBeneficialSpells	0x00571DE4	You fail to affect %s because beneficial spells do not affect %s!\n
0x51	81		YouFailToAffect_YouAreNotPK	0x00571DF8	You fail to affect %s because you are not a player killer!\n
0x52	82		YouFailToAffect_TheyAreNotPK	0x00571E0C	You fail to affect %s because %s is not a player killer!\n
0x53	83		YouFailToAffect_NotSamePKType	0x00571E42	You fail to affect %s because you are not the same sort of player killer as %s!\n
0x54	84		YouFailToAffect_AcrossHouseBoundary	0x00571E78	You fail to affect %s because you are acting across a house boundary!\n
0x3EE	1006	TheContainerIsClosed		0x00571E8C	The container is closed!
0x3EF	1007		IsNotAcceptingGiftsRightNow	0x00571F88	 is not accepting gifts right now.\n
0x3F1	1009	ChangeCombatModeFailure		0x00571ED2	You failed to go to non-combat mode.
0x3F7	1015	YouAreTooFatiguedToAttack		0x00571F04	You are too fatigued to attack!
0x3F8	1016	YouAreOutOfAmmunition		0x00571F2D	You are out of ammunition!
0x3F9	1017	YourAttackMisfired		0x00571F5F	Your missile attack misfired!
0x3FA	1018	YouveAttemptedAnImpossibleSpellPath		0x00572112	You've attempted an impossible spell path!
0x3FE	1022	YouDontKnowThatSpell		0x00571FCC	You don't know that spell!
0x3FF	1023	IncorrectTargetType		0x00571FF5	Incorrect target type
0x400	1024	YouDontHaveAllTheComponents		0x00572027	You don't have all the components for this spell.
0x401	1025	YouDontHaveEnoughManaToCast		0x00572050	You don't have enough Mana to cast this spell.
0x402	1026	YourSpellFizzled		0x00572082	Your spell fizzled.\n
0x403	1027	YourSpellTargetIsMissing		0x005720AE	Your spell's target is missing!
0x404	1028	YourProjectileSpellMislaunched		0x005720E0	Your projectile spell mislaunched!
0x407	1031	YourSpellCannotBeCastOutside		0x00572144	Your spell cannot be cast outside
0x408	1032	YourSpellCannotBeCastInside		0x00572176	Your spell cannot be cast inside
0x40A	1034	YouAreUnpreparedToCastASpell		0x00572347	You are unprepared to cast a spell
0x40B	1035	YouveAlreadySwornAllegiance		0x005724A5	You've already sworn your Allegiance
0x40C	1036	CantSwearAllegianceInsufficientXp		0x00572473	You don't have enough experience available to swear Allegiance
0x413	1043		IsAlreadyOneOfYourFollowers	0x0057251D	%s is already one of your followers
0x414	1044	YouAreNotInAllegiance		0x005724D7	You are not in an allegiance!
0x416	1046		CannotHaveAnyMoreVassals	0x00572509	%s cannot have any more Vassals
0x41D	1053	YouMustBeLeaderOfFellowship		0x00572531	You must be the leader of a Fellowship
0x41E	1054	YourFellowshipIsFull		0x00572563	Your Fellowship is full
0x41F	1055	FellowshipNameIsNotPermitted		0x00572595	That Fellowship name is not permitted
0x422	1058	ThatChannelDoesntExist		0x005725C7	That channel doesn't exist.
0x423	1059	YouCantUseThatChannel		0x005725F9	You can't use that channel.
