enum	value_dec	value_hex	name	base
ACBaseQualitiesFlags	0	0x0	None	hex (mask attr)
ACBaseQualitiesFlags	1	0x1	PropertyInt	hex (mask attr)
ACBaseQualitiesFlags	2	0x2	PropertyBool	hex (mask attr)
ACBaseQualitiesFlags	4	0x4	PropertyFloat	hex (mask attr)
ACBaseQualitiesFlags	8	0x8	PropertyDataId	hex (mask attr)
ACBaseQualitiesFlags	16	0x10	PropertyString	hex (mask attr)
ACBaseQualitiesFlags	32	0x20	PropertyPosition	hex (mask attr)
ACBaseQualitiesFlags	64	0x40	PropertyInstanceId	hex (mask attr)
ACBaseQualitiesFlags	128	0x80	PropertyInt64	hex (mask attr)
ACQualitiesFlags	1	0x1	Attributes	hex (mask attr)
ACQualitiesFlags	2	0x2	Skills	hex (mask attr)
ACQualitiesFlags	4	0x4	Body	hex (mask attr)
ACQualitiesFlags	8	0x8	EventFilter	hex (mask attr)
ACQualitiesFlags	16	0x10	Emotes	hex (mask attr)
ACQualitiesFlags	32	0x20	CreationProfile	hex (mask attr)
ACQualitiesFlags	64	0x40	PageData	hex (mask attr)
ACQualitiesFlags	128	0x80	Generators	hex (mask attr)
ACQualitiesFlags	256	0x100	SpellBook	hex (mask attr)
ACQualitiesFlags	512	0x200	Enchantments	hex (mask attr)
ACQualitiesFlags	1024	0x400	GeneratorRegistry	hex (mask attr)
ACQualitiesFlags	2048	0x800	GeneratorQueue	hex (mask attr)
ActivationResponse	0	0x0	Undef	hex (power-of-two)
ActivationResponse	2	0x2	Use	hex (power-of-two)
ActivationResponse	4	0x4	Animate	hex (power-of-two)
ActivationResponse	16	0x10	Talk	hex (power-of-two)
ActivationResponse	2048	0x800	Emote	hex (power-of-two)
ActivationResponse	4096	0x1000	CastSpell	hex (power-of-two)
ActivationResponse	65536	0x10000	Generate	hex (power-of-two)
AetheriaBitfield	0	0x0	None	hex
AetheriaBitfield	1	0x1	Blue	hex
AetheriaBitfield	2	0x2	Yellow	hex
AetheriaBitfield	4	0x4	Red	hex
AllegianceHouseAction	1	0x1	Help	hex
AllegianceHouseAction	2	0x2	GuestOpen	hex
AllegianceHouseAction	3	0x3	GuestClosed	hex
AllegianceHouseAction	4	0x4	StorageOpen	hex
AllegianceHouseAction	5	0x5	StorageClosed	hex
AllegianceLockAction	1	0x1	LockedOff	hex
AllegianceLockAction	2	0x2	LockedOn	hex
AllegianceLockAction	3	0x3	ToggleLocked	hex
AllegianceLockAction	4	0x4	CheckLocked	hex
AllegianceLockAction	5	0x5	DisplayBypass	hex
AllegianceLockAction	6	0x6	ClearBypass	hex
AllegianceOfficerLevel	1	0x1	Speaker	hex
AllegianceOfficerLevel	2	0x2	Seneschal	hex
AllegianceOfficerLevel	3	0x3	Castellan	hex
AmmoType	0	0x0	ThrownWeapon	hex
AmmoType	1	0x1	Arrow	hex
AmmoType	2	0x2	Bolt	hex
AmmoType	4	0x4	Dart	hex
ArmorHighlightMask	1	0x1	ArmorLevel	hex (mask attr)
ArmorHighlightMask	2	0x2	SlashingProtection	hex (mask attr)
ArmorHighlightMask	4	0x4	PiercingProtection	hex (mask attr)
ArmorHighlightMask	8	0x8	BludgeoningProtection	hex (mask attr)
ArmorHighlightMask	16	0x10	ColdProtection	hex (mask attr)
ArmorHighlightMask	32	0x20	FireProtection	hex (mask attr)
ArmorHighlightMask	64	0x40	AcidProtection	hex (mask attr)
ArmorHighlightMask	128	0x80	ElectricalProtection	hex (mask attr)
ArmorType	0	0x0	None	dec (unverified)
ArmorType	1	0x1	Cloth	dec (unverified)
ArmorType	2	0x2	Leather	dec (unverified)
ArmorType	4	0x4	StuddedLeather	dec (unverified)
ArmorType	8	0x8	Scalemail	dec (unverified)
ArmorType	16	0x10	Chainmail	dec (unverified)
ArmorType	32	0x20	Metal	dec (unverified)
AttackConditionsMask	1	0x1	CriticalProtectionAugmentation	hex
AttackConditionsMask	2	0x2	Recklessness	hex
AttackConditionsMask	4	0x4	SneakAttack	hex
AttackHeight	1	0x1	High	hex
AttackHeight	2	0x2	Medium	hex
AttackHeight	3	0x3	Low	hex
AttackType	0	0x0	Undef	hex (power-of-two)
AttackType	1	0x1	Punch	hex (power-of-two)
AttackType	2	0x2	Thrust	hex (power-of-two)
AttackType	4	0x4	Slash	hex (power-of-two)
AttackType	8	0x8	Kick	hex (power-of-two)
AttackType	16	0x10	OffhandPunch	hex (power-of-two)
AttackType	32	0x20	DoubleSlash	hex (power-of-two)
AttackType	64	0x40	TripleSlash	hex (power-of-two)
AttackType	128	0x80	DoubleThrust	hex (power-of-two)
AttackType	256	0x100	TripleThrust	hex (power-of-two)
AttackType	512	0x200	OffhandThrust	hex (power-of-two)
AttackType	1024	0x400	OffhandSlash	hex (power-of-two)
AttackType	2048	0x800	OffhandDoubleSlash	hex (power-of-two)
AttackType	4096	0x1000	OffhandTripleSlash	hex (power-of-two)
AttackType	8192	0x2000	OffhandDoubleThrust	hex (power-of-two)
AttackType	16384	0x4000	OffhandTripleThrust	hex (power-of-two)
AttributeId	1	0x1	Strength	hex
AttributeId	2	0x2	Endurance	hex
AttributeId	3	0x3	Quickness	hex
AttributeId	4	0x4	Coordination	hex
AttributeId	5	0x5	Focus	hex
AttributeId	6	0x6	Self	hex
AttributeMask	1	0x1	Strength	hex (mask attr)
AttributeMask	2	0x2	Endurance	hex (mask attr)
AttributeMask	4	0x4	Quickness	hex (mask attr)
AttributeMask	8	0x8	Coordination	hex (mask attr)
AttributeMask	16	0x10	Focus	hex (mask attr)
AttributeMask	32	0x20	Self	hex (mask attr)
AttributeMask	64	0x40	Health	hex (mask attr)
AttributeMask	128	0x80	Stamina	hex (mask attr)
AttributeMask	256	0x100	Mana	hex (mask attr)
AttunedStatus	0	0x0	Normal	hex
AttunedStatus	1	0x1	Attuned	hex
AttunedStatus	2	0x2	Sticky	hex
AuthFlags	0	0x0	None	hex
AuthFlags	1	0x1	EnableCrypto	hex
AuthFlags	2	0x2	AdminAccountOverride	hex
AuthFlags	4	0x4	LastDefault	hex
BondedStatus	-2	0x-2	Destroy	hex
BondedStatus	-1	0x-1	Slippery	hex
BondedStatus	0	0x0	Normal	hex
BondedStatus	1	0x1	Bonded	hex
BondedStatus	2	0x2	Sticky	hex
C2SMessage	63059	0xF653	Login_LogOffCharacter	hex
C2SMessage	63061	0xF655	Character_CharacterDelete	hex
C2SMessage	63062	0xF656	Character_SendCharGenResult	hex
C2SMessage	63063	0xF657	Login_SendEnterWorld	hex
C2SMessage	63210	0xF6EA	Object_SendForceObjdesc	hex
C2SMessage	63409	0xF7B1	Ordered_GameAction	hex
C2SMessage	63432	0xF7C8	Login_SendEnterWorldRequest	hex
C2SMessage	63436	0xF7CC	Admin_SendAdminGetServerVersion	hex
C2SMessage	63437	0xF7CD	Social_SendFriendsCommand	hex
C2SMessage	63449	0xF7D9	Admin_SendAdminRestoreCharacter	hex
C2SMessage	63454	0xF7DE	Communication_TurbineChat	hex
C2SMessage	63459	0xF7E3	DDD_RequestDataMessage	hex
C2SMessage	63462	0xF7E6	DDD_InterrogationResponseMessage	hex
C2SMessage	63466	0xF7EA	DDD_OnEndDDD	hex
C2SMessage	63467	0xF7EB	DDD_EndDDDMessage	hex
Channel	0	0x0	Undef	hex
Channel	1	0x1	Abuse	hex
Channel	2	0x2	Admin	hex
Channel	4	0x4	Audit	hex
Channel	8	0x8	Advocate1	hex
Channel	16	0x10	Advocate2	hex
Channel	32	0x20	Advocate3	hex
Channel	64	0x40	QA1	hex
Channel	128	0x80	QA2	hex
Channel	256	0x100	Debug	hex
Channel	512	0x200	Sentinel	hex
Channel	1024	0x400	Help	hex
Channel	1025	0x401	AllBroadcast	hex
Channel	2048	0x800	Fellow	hex
Channel	4096	0x1000	Vassals	hex
Channel	8192	0x2000	Patron	hex
Channel	16384	0x4000	Monarch	hex
Channel	32768	0x8000	AlArqas	hex
Channel	65536	0x10000	Holtburg	hex
Channel	131072	0x20000	Lytelthorpe	hex
Channel	262144	0x40000	Nanto	hex
Channel	524288	0x80000	Rithwic	hex
Channel	1048576	0x100000	Samsur	hex
Channel	2097152	0x200000	Shoushi	hex
Channel	4194304	0x400000	Yanshi	hex
Channel	8388608	0x800000	Yaraq	hex
Channel	16744448	0xFF8000	TownChans	hex
Channel	16777216	0x1000000	CoVassals	hex
Channel	33554432	0x2000000	AllegianceBroadcast	hex
Channel	67108864	0x4000000	FellowBroadcast	hex
Channel	134217728	0x8000000	SocietyCelHanBroadcast	hex
