opcode_hex	opcode_dec	enum	name	handler_va	handler_fn
0x3	3	GameEvent	Allegiance_AllegianceUpdateAborted	0x0055B080	CM_Allegiance::DispatchUI_AllegianceUpdateAborted
0x4	4	GameEvent	Communication_PopUpString	0x0055B0B8	CM_Communication::DispatchUI_PopUpString
0x13	19	GameEvent	Login_PlayerDescription	0x0055B160	CPlayerSystem::Handle_PlayerDescription
0x20	32	GameEvent	Allegiance_AllegianceUpdate	0x0055B5D6	CAllegianceProfile::CAllegianceProfile
0x21	33	GameEvent	Social_FriendsUpdate	0x0055B144	CM_Social::DispatchUI_FriendsUpdate
0x22	34	GameEvent	Item_ServerSaysContainId	0x0055B1C8	CObjectMaint::GetWeenieObject
0x23	35	GameEvent	Item_WearItem	0x0055B27C	CObjectMaint::GetWeenieObject
0x24	36	S2CMessage	Item_ServerSaysRemove	0x0055B2D5	CObjectMaint::GetWeenieObject
0x29	41	GameEvent	Social_CharacterTitleTable	0x0055B128	CM_Social::DispatchUI_CharacterTitleTable
0x2B	43	GameEvent	Social_AddOrSetCharacterTitle	0x0055B10C	CM_Social::DispatchUI_AddOrSetCharacterTitle
0x52	82	GameEvent	Item_StopViewingObjectContents	0x0055B187	ClientUISystem::SetGroundObject
0x62	98	GameEvent	Vendor_VendorInfo	0x0055B5BD	ClientUISystem::Handle_VendorInfo
0x75	117	GameEvent	Character_StartBarber	0x0055B09C	CM_Character::DispatchUI_StartBarber
0xA0	160	S2CMessage	Character_ServerSaysAttemptFailed	0x0055B342	CObjectMaint::GetWeenieObject
0xA3	163	GameEvent	Fellowship_Quit	0x0055B0F0	CM_Fellowship::DispatchUI_Quit
0xA4	164	GameEvent	Fellowship_Dismiss	0x0055B0D4	CM_Fellowship::DispatchUI_Dismiss
0xB4	180	GameEvent	Writing_BookOpen	0x0055B3EA	PageDataList::PageDataList
0xB6	182	GameEvent	Writing_BookAddPageResponse	0x0055B4DE	CM_Writing::SendNotice_BookAddPageResponse
0xB7	183	GameEvent	Writing_BookDeletePageResponse	0x0055B51C	CM_Writing::SendNotice_BookDeletePageResponse
0xB8	184	GameEvent	Writing_BookPageDataResponse	0x0055B55A	PageData::PageData
0xC3	195	GameEvent	Item_GetInscriptionResponse	0x0055B638	AC1Legacy::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >
0xC9	201	GameEvent	Item_SetAppraiseInfo	0x0055BB5C	AppraisalProfile::AppraisalProfile
0x147	327	GameEvent	Communication_ChannelBroadcast	0x0055B73C	CM_Communication::DispatchUI_ChannelBroadcast
0x148	328	GameEvent	Communication_ChannelList	0x0055B774	CM_Communication::DispatchUI_ChannelList
0x149	329	GameEvent	Communication_ChannelIndex	0x0055B758	CM_Communication::DispatchUI_ChannelIndex
0x196	406	GameEvent	Item_OnViewContents	0x0055BA62	PackableList<ContentProfile>::UnPack
0x197	407	S2CMessage	Item_UpdateStackSize	0x0055BB0A	ClientObjMaintSystem::UpdateStackSize
0x19A	410	GameEvent	Item_ServerSaysMoveItem	0x0055B7C8	CObjectMaint::GetWeenieObject
0x19E	414	S2CMessage	Combat_HandlePlayerDeathEvent	0x0055BABF	ClientCombatSystem::HandlePlayerDeathEvent
0x1A7	423	GameEvent	Combat_HandleAttackDoneEvent	0x0055B82A	ClientCombatSystem::HandleAttackDoneEvent
0x1A8	424	GameEvent	Magic_RemoveSpell	0x0055B7AC	CM_Magic::DispatchUI_RemoveSpell
0x1AC	428	GameEvent	Combat_HandleVictimNotificationEventSelf	0x0055BAD8	ClientCombatSystem::HandleKillerNotificationEvent
0x1AD	429	GameEvent	Combat_HandleVictimNotificationEventOther	0x0055BAF1	ClientCombatSystem::HandleKillerNotificationEvent
0x1B1	433	GameEvent	Combat_HandleAttackerNotificationEvent	0x0055B865	AC1Legacy::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >
0x1B2	434	GameEvent	Combat_HandleDefenderNotificationEvent	0x0055B912	AC1Legacy::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >
0x1B3	435	GameEvent	Combat_HandleEvasionAttackerNotificationEvent	0x0055BA1B	AC1Legacy::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >
0x1B4	436	GameEvent	Combat_HandleEvasionDefenderNotificationEvent	0x0055B9D4	AC1Legacy::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >
0x1B8	440	GameEvent	Combat_HandleCommenceAttackEvent	0x0055B84E	ClientCombatSystem::HandleCommenceAttackEvent
0x1C0	448	GameEvent	Combat_QueryHealthResponse	0x0055B720	CM_Combat::DispatchUI_QueryHealthResponse
0x1C3	451	GameEvent	Character_QueryAgeResponse	0x0055B704	CM_Character::DispatchUI_QueryAgeResponse
0x1C7	455	GameEvent	Item_UseDone	0x0055B790	CM_Item::DispatchUI_UseDone
0x1C9	457	GameEvent	Fellowship_FellowUpdateDone	0x0055BBB2	CM_Fellowship::DispatchUI_FellowUpdateDone
0x1CA	458	GameEvent	Fellowship_FellowStatsDone	0x0055BC7A	CM_Fellowship::DispatchUI_FellowStatsDone
0x1CB	459	GameEvent	Item_AppraiseDone	0x0055BD92	CM_Item::DispatchUI_AppraiseDone
0x1D1	465	S2CMessage	Qualities_PrivateRemoveIntEvent	0x0055BE3A	CM_Qualities::DispatchUI_PrivateRemoveIntEvent
0x1D2	466	S2CMessage	Qualities_RemoveIntEvent	0x0055BEFE	CM_Qualities::DispatchUI_RemoveIntEvent
0x1D3	467	S2CMessage	Qualities_PrivateRemoveBoolEvent	0x0055BDCA	CM_Qualities::DispatchUI_PrivateRemoveBoolEvent
0x1D4	468	S2CMessage	Qualities_RemoveBoolEvent	0x0055BE8E	CM_Qualities::DispatchUI_RemoveBoolEvent
0x1D5	469	S2CMessage	Qualities_PrivateRemoveFloatEvent	0x0055BE02	CM_Qualities::DispatchUI_PrivateRemoveFloatEvent
0x1D6	470	S2CMessage	Qualities_RemoveFloatEvent	0x0055BEC6	CM_Qualities::DispatchUI_RemoveFloatEvent
0x1D7	471	S2CMessage	Qualities_PrivateRemoveStringEvent	0x0055BE72	CM_Qualities::DispatchUI_PrivateRemoveStringEvent
0x1D8	472	S2CMessage	Qualities_RemoveStringEvent	0x0055BF36	CM_Qualities::DispatchUI_RemoveStringEvent
0x1D9	473	S2CMessage	Qualities_PrivateRemoveDataIdEvent	0x0055BDE6	CM_Qualities::DispatchUI_PrivateRemoveDataIDEvent
0x1DA	474	S2CMessage	Qualities_RemoveDataIdEvent	0x0055BEAA	CM_Qualities::DispatchUI_RemoveDataIDEvent
0x1DB	475	S2CMessage	Qualities_PrivateRemoveInstanceIdEvent	0x0055BE1E	CM_Qualities::DispatchUI_PrivateRemoveInstanceIDEvent
0x1DC	476	S2CMessage	Qualities_RemoveInstanceIdEvent	0x0055BEE2	CM_Qualities::DispatchUI_RemoveInstanceIDEvent
0x1DD	477	S2CMessage	Qualities_PrivateRemovePositionEvent	0x0055BE56	CM_Qualities::DispatchUI_PrivateRemovePositionEvent
0x1DE	478	S2CMessage	Qualities_RemovePositionEvent	0x0055BF1A	CM_Qualities::DispatchUI_RemovePositionEvent
0x1E0	480	S2CMessage	Communication_HearEmote	0x0055BC26	CM_Communication::DispatchUI_HearEmote
0x1E2	482	S2CMessage	Communication_HearSoulEmote	0x0055BC42	CM_Communication::DispatchUI_HearSoulEmote
0x1EA	490	GameEvent	Character_ReturnPing	0x0055BC0A	CM_Character::DispatchUI_ReturnPing
0x1F4	500	GameEvent	Communication_SetSquelchDB	0x0055BC5E	CM_Communication::DispatchUI_SetSquelchDB
0x1FD	509	GameEvent	Trade_RegisterTrade	0x0055BFFA	CM_Trade::DispatchUI_Recv_RegisterTrade
0x1FE	510	GameEvent	Trade_OpenTrade	0x0055BFDE	CM_Trade::DispatchUI_Recv_OpenTrade
0x1FF	511	GameEvent	Trade_CloseTrade	0x0055BFA6	CM_Trade::DispatchUI_Recv_CloseTrade
0x200	512	GameEvent	Trade_AddToTrade	0x0055BF6E	CM_Trade::DispatchUI_Recv_AddToTrade
0x201	513	GameEvent	Trade_RemoveFromTrade	0x0055C016	CM_Trade::DispatchUI_Recv_RemoveFromTrade
0x202	514	GameEvent	Trade_AcceptTrade	0x0055BF52	CM_Trade::DispatchUI_Recv_AcceptTrade
