225	CPhysicsObj	143003-343373
196	ClientCommunicationSystem	410809-430250
186	D3DXTex	538418-556003
176	_STL	63479-663569
143	D3DXMesh	526085-553376
130	PlayerModule	61517-513956
117	UIElement	149516-498251
115	AC1Legacy	60920-667348
113	ACCWeenieObject	220515-439317
99	RenderDeviceD3D	455696-460762
89	UIElement_Text	163068-167072
84	ClientObjMaintSystem	390940-407777
81	Render	314316-435641
74	CPartArray	325068-326984
73	UIElementManager	149528-156217
69	CPlayerSystem	395603-400816
64	CharGenState	400930-497836
62	UIElement_ListBox	169356-198596
61	SmartBox	143041-392843
60	CACQualities	439498-444933
57	UIElement_ItemList	272393-275042
57	CInputManager_WIN32	669653-673406
57	AsyncCache	81208-696571
55	UIRegion	149499-697041
53	ClientUISystem	401274-411019
51	ClientCombatSystem	407298-410072
48	CommandInterpreter	436205-718254
48	CM_Character	697485-699662
44	gmVendorUI	242501-247181
44	UIElement_Scrollbar	172922-174274
44	CM_Qualities	711673-712580
42	gmSecureTradeUI	250938-252360
41	ItemExamineUI	226689-235257
41	BTree	648366-650313
40	Client	61505-78960
40	CMotionInterp	343295-344670
40	APIManager	392938-393585
39	CPosPassThru	729892-730747
38	CPhysicsPart	314336-315551
38	CObjCell	346417-347765
38	CEnchantmentRegistry	444939-721192
37	gmRadarUI	262627-264962
37	StringTableMetaLanguage	658441-662124
37	PFileNode	95524-723011
37	CEnvCell	290204-717717
36	gmSlumlordUI	249370-250845
36	CBaseRenderer	724817-727001
35	gmToolbarUI	239816-242056
35	gmCCommunicationSystem	433662-434984
35	ChatInterface	287012-289027
35	CM_House	707289-708463
34	ProfilerUI	516659-519941
34	PSUtils	70805-667488
34	CM_Allegiance	703622-704721
33	MoveToManager	344753-346119
33	CInputManager	109936-285124
33	CBaseVideoRenderer	724694-727036
32	gmPaperDollUI	219672-222068
32	gmAllegianceUI	203861-205967
32	Position	96611-489769
32	Frame	96598-357692
32	DiskController	291636-647891
32	DBCache	79382-81389
32	ClientNet	369376-373657
32	CObjectMaint	309014-310936
31	gmGamePlayUI	279243-280823
31	UIOption_ActionKeyMap	194663-197262
31	SurfaceWindow	117935-127212
31	LScape	146452-308283
31	Device	117949-120403
31	CLandBlock	290171-352787
31	CBaseQualities	440670-447729
30	TFile2IDTable	654889-658158
30	DebugConsole	679609-681816
30	ClientMagicSystem	310187-405776
30	CM_Communication	700549-702199
29	StringInfo	105618-107738
29	RenderMesh	128733-130953
29	CTransition	311589-317253
29	CSequence	339677-340951
29	CM_Magic	699722-700506
29	CLCache	290551-296205
28	gmFellowshipUI	201798-203845
28	SharedNet	369054-373448
28	GlyphList	175110-176926
28	CM_UI	182894-183599
27	gmJournalUI	207348-209434
27	UIElement_UIItem	271273-272258
27	CameraSet	146904-149480
27	CM_Trade	710050-710693
27	Archive	69946-70546
26	UIOption_Menu	191463-194296
26	CSurface	290264-454368
25	UIElement_Menu	169245-169982
25	EnumMapper	87668-89237
25	D3DPolyRender	435757-456699
25	ClientTradeSystem	410113-410684
25	AppraisalProfile	477349-479026
24	gmSalvageUI	252366-252990
24	UIOption_Slider	192324-194657
24	UIOption_CheckboxBitfield64	193049-193848
24	SceneTool	122402-124393
24	SPHEREPATH	311551-361094
24	BaseProperty	83996-102984
23	gmStatManagementUI	284107-284993
23	UIOption_Checkbox	193884-194651
23	ObjDesc	469201-470439
23	CLandCell	353253-355433
23	BSPNODE	362836-364025
22	gmSpellcastingUI	247248-249263
22	gmMiniGameUI	223379-226241
22	gmKeyboardUI	265277-268397
22	gmCharacterManagementUI	280838-282109
22	UISurfaceObject	683935-684668
22	MovementManager	339101-339631
22	ImgTex	304622-367699
22	FlowQueue	374431-376111
22	CM_Fellowship	702912-703588
21	gmCGSkillsPage	185146-190023
21	gmBookUI	237788-238854
21	UserPreferences	116112-117868
21	RenderTexture	136287-137475
21	PView	461029-462565
21	DBOCache	83017-83984
21	CM_Social	702240-702861
21	CBasePin	727650-729078
21	ArgumentParser	62036-69686
20	gmSkillUI	212637-214119
20	gmMainChatUI	254157-255275
20	gmHouseUI	218754-219634
20	gmFriendsUI	200631-201724
20	CRegionDesc	290442-300217
20	CM_Game	705429-706054
19	gmEffectsUI	235378-236404
19	UIOption_CheckboxSlider	192018-192318
19	TexMerge	304558-306241
19	StateDesc	692166-693099
19	SoundManager	383004-383747
19	IDList	471792-472412
19	Fellowship	202193-484358
19	CPolygon	359420-360546
19	CMasterInputMap	266017-679569
19	ArrayPropertyValue	98548-104538
19	AllegianceHierarchy	481659-482715
19	ACCharGenData	435119-495046
18	gmExaminationUI	226530-234836
18	gmContractsUI	209488-211967
18	gmClient	61259-63447
18	gmCGAppearancePage	185457-186939
18	UIElement_SmartBoxWrapper	275088-275631
18	RenderSurface	127810-128423
18	MediaMachine	162006-162572
18	LongIntegerPropertyValue	95346-99792
18	Font	127299-291189
18	ExperienceTable	435169-501739
18	CSpellBase	198603-449226
18	CBaseFilter	724709-729149
18	AllegianceSystem	482727-483645
18	ACCmdInterp	435803-436275
17	gmSpellbookUI	198442-199528
17	gmCharacterInfoUI	236411-237782
17	VividTargetIndicator	289398-290072
17	RenderTextureD3D	684835-685652
17	Proto_UI	373843-374203
17	PhysicsDesc	143876-331865
17	ParticleEmitterInfo	290492-324851
17	MasterDBMap	89317-91687
17	ItemHolder	431990-433578
17	IntegerPropertyValue	96163-99647
17	GraphicsResource	131015-131576
17	ClientFellowshipSystem	405792-406957
17	CameraManager	146916-148048
17	CLandBlockStruct	353109-354762
17	CBaseInputPin	393225-729112
17	CAsyncStateMachine	627528-629809
17	BSPTREE	360662-361296
16	gmSmartBoxUI	261736-262592
16	UIPreferences	520364-520934
16	UIElement_Scrollable	176949-177546
16	ThreadedCache	293200-654440
16	SmartBuffer	65919-66493
16	Serializer	61151-675322
16	RenderVertexBuffer	131654-132319
16	RenderDevice	382318-455675
16	PropertyCollection	160688-664517
16	Palette	290244-365273
16	FloatPropertyValue	95904-99614
16	DBObj	81401-81706
16	CreatureMode	143534-146414
16	Bitfield64PropertyValue	95146-104044
16	AnimSequenceNode	285664-341289
15	gmPageListUI	205983-207263
15	gmExternalContainerUI	253042-253387
15	gmBarberUI	269068-269886
15	UIQueueManager	393662-395538
15	Trade	484828-485360
15	StructPropertyValue	98559-105171
15	RenderMaterial	124208-134923
15	PlayerOptionPage	286461-286784
15	LandDefs	122254-467472
15	LRU_List	651103-652684
15	ExperienceSystem	499191-499548
15	CSphere	334268-359390
15	CMotionTable	292831-339058
15	CLBlockAllocator	650322-651004
15	BoolPropertyValue	95352-99583
15	Bitfield32PropertyValue	94988-103876
15	AppraisalSystem	479074-480424
15	ACCharGenResult	498180-499185
14	UIOption	283432-284082
14	UIElement_Button	174426-174809
14	StringInfoPropertyValue	96743-99970
14	RenderVertexBufferD3D	458897-688569
14	ReceiverData	376161-376642
14	PositionManager	388267-388488
14	PalShift	300240-301365
14	PacketController	368117-368964
14	MotionTableManager	329773-330206
14	MasterProperty	94926-101636
14	KeyStone	390122-390523
14	InterpretedMotionState	332525-333617
14	HouseProfile	486487-486914
14	CharacterSet	182787-298644
14	CM_Inventory	708499-709565
14	CLanguageInfoInterface	93447-93961
13	gmInventoryUI	222137-222499
13	gmCharacterTitleUI	211981-212559
13	gmAttributeUI	214185-215167
13	VendorSellUI	242636-246860
13	UIFlow	182420-331315
13	TargetManager	327974-328644
13	StringPropertyValue	98073-100033
13	SpellFormula	487706-488270
13	RenderSurfaceD3D	685664-685981
13	ParticleEmitter	330252-331265
13	NetBlob	377185-377529
13	MaterialLayer	122396-140927
13	MaterialInstance	138064-138726
13	InArchiveVersionStack	70363-76994
13	GameBoardGrid	223331-225984
13	Enchantment	235353-502627
13	ClientHousingSystem	430518-430788
13	CRendererInputPin	725460-726973
13	CCommunicationSystem	389530-433849
13	AttributeCache	504086-505438
13	AllegianceProfile	393615-481645
12	gmSpellComponentUI	197375-198436
12	gmMapUI	218123-218643
12	gmFloatyChatUI	255294-258604
12	gmDataPatchUI	282602-282900
12	gmCharGenMainUI	277872-278604
12	gmCGProfessionPage	190108-190796
12	gmAbuseUI	238886-239214
12	Waveform	97281-476698
12	VertexArray	132194-516486
12	SkillSystem	499604-500097
12	RenderIndexBuffer	137560-137857
12	QuickWindow	311143-688769
12	PositionPropertyValue	96632-99871
12	PageDataList	510062-510734
12	NewParser	722590-723700
12	Matrix4	122340-627224
12	LandSurf	303797-304210
12	HousePayment	218798-486021
12	GlobalRegistryInstance	112412-114049
12	GRPTypedVariableObject	112192-116557
12	DetectionManager	327021-327673
12	ComponentTracker	430901-431942
12	CSortCell	356040-356151
12	CSetup	290234-336241
12	CInputMap	675792-678529
12	CCylSphere	361502-362244
12	AutoStoreVersionArchive	130745-627281
12	Ambient	143842-384507
12	AllegianceData	481154-481461
12	ActionMap	290472-669616
11	gmSquelchUI	199636-200625
11	gmCreditsUI	276822-277426
11	gmCGSummaryPage	184154-185058
11	WaveformPropertyValue	97224-98469
11	VendorProfile	243107-510011
11	VendorItemsUI	242674-246538
11	VectorPropertyValue	97095-100217
11	UIFramework	276829-697318
11	UIElement_Meter	172320-172694
11	Turbine	64804-65089
11	TimeStampPropertyValue	95139-100651
11	SquelchInfo	433942-714367
11	SkyDesc	301472-303141
11	RawMotionState	332495-333633
11	QualityRegistrar	682614-683559
11	QualityFilter	503908-715930
11	PublicWeenieDesc	470679-471352
11	Plane	128609-719916
11	PhysicsScriptTable	290512-337239
11	PFileParser	721844-722670
11	NetPacket	370390-376946
11	MotionState	341303-341987
11	MaterialProperty	140933-141528
11	LogController	74089-75260
11	GameTime	463203-464014
11	ElementDesc	690586-691973
11	ECM_UI	681853-682120
11	D3DXCore	553609-553732
11	ColorPropertyValue	95584-99601
11	ClothingTable	283004-465474
11	CM_Physics	709599-710003
11	CM_Item	705126-705399
11	CBuildingObj	719041-719280
11	ACQualityFilter	435189-503891
10	gmVitaeUI	222845-223137
10	gmFloatyToolbarUI	256200-256796
10	gmFloatyPowerBarUI	257373-261907
10	gmFloatyMainChatUI	258493-258971
10	gmFloatyIndicatorsUI	259081-259638
10	Vector3	122284-625287
10	UIElement_Panel	168407-169043
10	UIElement_ColorPicker	167471-170062
10	SpellComponentTable	197538-487689
10	SpellCastSubMenu	247382-248597
10	RenderVertexStreamD3D	453850-687489
10	PageData	237941-510634
10	MediaDesc	693514-693771
10	MaterialModifier	141560-141789
10	LayerStage	132342-132704
10	Indicator	377751-378158
10	Graphic	683571-683915
10	Glyph	177562-177769
10	GlobalRegistry	61225-115895
10	GfxObjDegradeInfo	290422-332469
10	GameSky	308367-308905
10	EnumPropertyValue	95766-104396
10	EnumIDMap	81874-82982
10	ClientMiniGameSystem	430319-430473
10	ClientAllegianceSystem	406989-407159
10	CSpellTable	403913-450435
10	CPlayerModule	452745-452957
10	CM_Writing	706080-706543
10	CM_Combat	706604-707035
10	CLandBlockInfo	290161-351319
10	CGfxObj	290214-356683
10	CFactory	378595-390618
10	CCellStruct	355443-356030
10	CAnimation	290224-334256
10	BasePropertyDesc	102001-103710
10	BSPLEAF	364073-364381
10	ACCObjectMaint	390880-392652
9	gmVitalsUI	242173-242489
9	gmSpewBoxUI	261092-261680
9	gmPowerbarUI	264988-265201
9	gmIntroUI	282295-282596
9	gmFloatyExaminationUI	259714-260162
9	gmConfigUI	215401-215822
9	gmCombatUI	253395-253734
9	gmChatOptionsUI	215465-216922
9	UISurface	124661-125075
9	UIListener	162615-163038
9	UIElement_Browser	167792-168001
9	TriStatePropertyValue	94981-99197
9	TextureBasedFont	685993-687161
9	StringTable	108807-109806
9	StringInfo_StringInfoData	107762-108641
9	StickyManager	388502-388728
9	SquelchDB	714006-715185
9	SpellComponentBase	197337-487295
9	SoundBuf	385646-386102
9	RestrictionDB	472575-473578
9	RenderUI	132885-133905
9	RenderMeshFragment	139027-140467
9	RenderIndexStreamD3D	687521-687781
9	RGBAColor	95693-625146
9	QualifiedDataIDArray	80576-87769
9	PrimD3DRender	435657-453759
9	PhysicsScript	290502-336532
9	PerfMonCounterInfo	368697-666449
9	PalSet	185706-470654
9	ObjectDesc	351355-462930
9	NetAuthenticator	77793-368098
9	Logger	74240-79248
9	LayoutDesc	149536-690388
9	ItemProfile	509582-509795
9	InterpolationManager	388815-389384
9	IntermitSound	383789-384260
9	HousePaymentList	485413-486112
9	GuestInfo	473734-474018
9	FriendData	200033-484794
9	Emote	505773-506750
9	DiskConBase	291609-647062
9	DialogFactory	180139-181532
9	Dialog	177857-179824
9	CombatManeuverTable	407721-501918
9	ClothingBase	466425-466835
9	CTerrainDesc	303275-303492
9	CSoundTable	290462-385634
9	CPhysics	311149-311467
9	CMaterial	360585-694729
9	CEnvironment	290284-353090
9	CEnumPins	727425-728795
8	gmUIElement_PortalStormIndicator	276019-276146
8	gmUIElement_LinkStatusIndicator	276289-276447
8	gmPanelUI	239248-239775
8	gmLinkStatusUI	226282-226447
8	gmFloatyVitalsUI	255798-256901
8	WaveFile	386761-387084
8	WTimeStamper	716249-716563
8	VendorBuyUI	242630-246548
8	UIOption_CheckboxBitfield	193865-194112
8	UIElement_Viewport	168242-168358
8	UIElement_Dragbar	169060-169199
8	TurbineDwExceptionFilter	719337-719715
8	TextFileOutputHandler	74076-74744
8	TabooTable	290324-666077
8	StringTokenPropertyValue	98305-100039
8	SoundTableData	384838-385608
8	SkillTable	213059-503421
8	ShortCutManager	514030-514213
8	RecipientData	374250-374399
8	QuickButton	688805-689017
8	ParticleManager	329274-329528
8	ObjCollisionProfile	329581-329671
8	NoticeRegistrar	121092-121454
8	MD_Data_Movie	693181-693372
8	LM_UVTranslate	140909-142650
8	InfoRegion	285116-285934
8	HouseData	486270-708368
8	Fellow	202158-484534
8	EmoteSet	448154-448579
8	DataFilePropertyValue	94974-104101
8	DBWave	290274-385798
8	DBPropertyCollection	290522-664604
8	CreatureAppraisalProfile	480545-480861
8	CloPaletteTemplate	465562-466414
8	ClientFlowQueue	374468-376091
8	CharacterTitleTable	212325-498169
8	CSpellBook	446954-447502
8	CM_Movement	712832-713221
8	CM_Admin	710795-711627
8	CLinkStatusAverages	369842-373837
8	CEnumMediaTypes	727507-728917
8	CBldPortal	362406-362591
8	CAsyncStateHandler	627516-629821
8	BodyPart	439784-509338
8	Attribute2ndTable	285315-502995
8	ACRender	458015-720640
7	gmUIFlow	183743-183957
7	gmUIElement_VitaeIndicator	275825-275994
7	gmUIElement_EffectsIndicator	276476-276627
7	gmUIElement_BurdenIndicator	276633-276802
7	gmFloatyPanelUI	255825-258292
7	gmFloatyCombatPanelUI	260334-260936
7	gmEnvPanelUI	253936-289076
7	gmDisconnectedUI	279063-279154
7	gmCG3DView	282965-283108
7	gmBackpackUI	222574-222738
7	UIPreferenceItemEnum	520103-521018
7	UIElement_Resizebar	168062-168214
7	UIElement_GroupBox	167304-167425
7	UIElement_Field	174850-174973
7	Timer	75324-75492
7	TSRecv	474589-474865
7	SpellExamineUI	226987-234511
7	SkillBase	285356-503341
7	SentPacketStore	378191-378482
7	Scene	290432-463177
7	SalvageOperationsResultData	500559-717589
7	RenderIndexBufferD3D	456755-687974
7	PortalThread	295948-627455
7	PerfMonCounterManager	666463-666980
7	PackObj	60839-500636
7	OptionPage	286826-286988
7	NetBlobIDUtils	467808-467854
7	MovementParameters	339437-346344
7	MetaSpell	450589-450772
7	LM_UVRotate	141899-509150
7	InterfaceSystem	65267-65879
7	HeritageGroup_CG	186814-493922
7	GenericQualitiesData	721222-721504
7	Formatted_Double_StringInfoData	107870-108699
7	FileNodeName_PString	97950-624213
7	FileNodeName_Binary	128560-624748
7	EnchantmentSpell	450896-451004
7	ConstraintManager	389395-389514
7	CloObjectEffect	465530-466551
7	ChatRoomTracker	331339-723976
7	CharacterIdentity	298283-298866
7	Cache_Pack_t	84003-647023
7	CWeenieObject	310948-437113
7	CVertexArray	362652-362802
7	CThreadsafeDiskController	291393-291970
7	CContract	452052-452658
7	Box2D	156238-689244
7	BSPPORTAL	364397-364745
7	BBox	356169-477178
7	Attribute2ndInfoRegion	285174-286435
6	gmUIElement_MiniGameIndicator	276152-276260
6	gmFloatySideVitalsUI	256874-258375
6	gmEpilogueUI	279160-279235
6	gmCombatPanelUI	289083-289388
6	gmCGHeritagePage	190967-191339
6	cWObjHierRootNode	290304-296712
6	UIPreferenceItemString	520305-520349
6	UIPreferenceItemInt	520215-520291
6	UIPreferenceItemFloat	520183-520284
6	UIPreferenceItemBool	520045-520089
6	UIMainFramework	697342-697423
6	TextTag	182185-182319
6	TextInputDialog	177996-178189
6	Template_CG	186196-496405
6	TFileEntry	655011-655102
6	Subpalette	300311-471744
6	Skill	212607-502208
6	Sex_CG	186335-493024
6	ScriptManager	329059-329237
6	ReplaceObjectHook	342249-343275
6	RenderMeshFragmentTopology	138770-139523
6	QuestDefDB	451849-510930
6	QuestDef	451468-510834
6	QualityHandler	682547-683332
6	PositionPack	323502-324246
6	PlayerDesc	444183-444913
6	OBJECTINFO	314070-314161
6	NetKeyExch	377089-377167
6	MotionData	337394-341814
6	MessageDialog	177912-178303
6	MenuDialog	178369-178660
6	MD_Data_Pause	693152-694948
6	MD_Data_Anim	694973-695107
6	LRUB_Mem_t	651047-651201
6	LM_UVScale	141933-142872
6	ItemUses	296796-296872
6	HookAppraisalProfile	331333-481134
6	HAR	473620-474577
6	Formatted_LInt_StringInfoData	107915-108706
6	FileNodeUtils	104141-675771
6	FileNodeName_Double	97067-624950
6	Double_StringInfoData	107808-108678
6	ControlNameMapper	674053-675251
6	ConfirmationTextInputDialog	178705-178920
6	ConfirmationMenuDialog	178965-179292
6	ConfirmationDialog	179337-179563
6	ComponentData	430891-431627
6	CommandList	718295-718508
6	ChatPoseTable	290294-412916
6	CellManager	146439-146768
6	CTextureRenderer	724448-724798
6	CSoundDesc	303557-303694
6	CSceneDesc	303151-303549
6	CRendererPosPassThru	730471-730803
6	CPartCell	350491-350602
6	CMediaType	730981-731082
6	CM_Misc	712626-712701
6	CLogonHeader	468321-469057
6	CContractTable	209695-452381
6	CBaseList	730816-730963
