va_11.6096	va_11.4186	name	module	confidence	candidates	alt_names
0x00401000	0x00401000	vector_constructor_iterator	GAME/acclient/main.obj	exact	1	
0x00401030	0x00401030	vector_destructor_iterator	GAME/acclient/main.obj	exact	1	
0x00401070	0x00401070	ps_strcpy	GAME/acclient/main.obj	verified	1	
0x00401090	0x00401090	PackObj::GetPackSize	GAME/acclient/main.obj	predicted	1	
0x004010A0	0x004010A0	ReferenceCountTemplate<268435456,0>::Release	GAME/acclient/main.obj	verified	1	
0x004010D0	0x004010D0	BitUtils::AllAreOn	GAME/acclient/main.obj	verified	1	
0x004010F0	0x004010F0	ClientMain::ClientCleanUp	GAME/acclient/main.obj	exact	1	
0x00401120	0x00401120	ClientMain::ConfigureFPU	GAME/acclient/main.obj	exact	1	
0x00401160	0x00401160	ConstructClassObjectEx<Client,Interface>	GAME/acclient/main.obj	verified	1	
0x004011B0	0x004011B0	PStringBase<unsigned short>::~PStringBase<unsigned short>	GAME/acclient/gmClient.obj	verified	1	
0x004011E0	0x00401220	AC1Legacy::PStringBase<char>::vector_deleting_destructor	GAME/acclient/main.obj	exact	2	PSRefBuffer<unsigned short>::scalar_deleting_destructor
0x00401280	0x004012C0	PStringBase<char>::allocate_ref_buffer	GAME/acclient/main.obj	exact	1	
0x00401340	0x00401380	PStringBase<char>::PStringBase<char>	GAME/acclient/main.obj	exact	1	
0x004013A0	0x004013E0	WinMain	GAME/acclient/main.obj	exact	1	
0x00401590	0x004015D0	Serializer::SerializeBytes	GAME/acclient/gmClient.obj	exact	1	
0x00401600	0x00401640	TransientArchive::TransientArchive	GAME/acclient/gmClient.obj	exact	1	
0x00401670	0x004016B0	TransientArchive::InitForPacking	GAME/acclient/gmClient.obj	verified	1	
0x00401690	0x004016D0	TransientArchive::InitForUnpacking	GAME/acclient/gmClient.obj	verified	1	
0x004016B0	0x00413110	compute_str_hash	GAME/acclient/gmClient.obj	exact	1	
0x00401700	0x004016F0	PStringBase<char>::set	GAME/acclient/gmClient.obj	exact	2	IntrusiveHashTable<PStringBase<char>,HashSetData<PStringBase<char> > *,1>::scalar_deleting_destructor
0x00401750	0x00401740	GlobalRegistry::GetRegistry	GAME/acclient/gmClient.obj	exact	1	
0x00401790	0x00401780	gmClient::OnDDDEvent	GAME/acclient/gmClient.obj	exact	1	
0x004017C0	0x004017B0	gmClient::UseTime	GAME/acclient/gmClient.obj	verified	1	
0x004017E0	0x004017D0	gmClient::DetachUIPreferences	GAME/acclient/gmClient.obj	exact	1	
0x00401900	0x004018F0	gmClient::GRPCallback_OnFontPreferenceChanged	GAME/acclient/gmClient.obj	verified	1	
0x00401920	0x00401910	PStringBase<char>::operator==	GAME/acclient/gmClient.obj	exact	1	
0x004019A0	0x00401990	Serializer::SerializeObject	GAME/acclient/gmClient.obj	verified	1	
0x004019E0	0x004019D0	Serializer::SerializeObject	GAME/acclient/gmClient.obj	verified	1	
0x00401A20	0x00401A10	Tokenize	GAME/acclient/gmClient.obj	verified	1	
0x00401A40	0x00401A30	PStringBase<char>::PStringBase<char>	GAME/acclient/gmClient.obj	verified	1	
0x00401A60				unmapped	0	
0x00401A80	0x005BE430	SB_As32Bit_Compressed::Serialize	GAME/acclient/gmClient.obj	exact	1	
0x00401BF0				unmapped	0	
0x00401C10				unmapped	0	
0x00401C20				unmapped	0	
0x00401C30				unmapped	0	
0x00401C50	0x00401B20	gmClient::~gmClient	GAME/acclient/gmClient.obj	exact	1	
0x00401D80	0x00401C50	CPluginPrototype::OnPluggedIn	GAME/acclient/gmClient.obj	verified	1	
0x00401D90	0x00401C60	Client::GetAccountName	GAME/acclient/gmClient.obj	predicted	1	
0x00401DA0	0x00401C70	Client::GetHostName	GAME/acclient/gmClient.obj	predicted	1	
0x00401DB0	0x00401C80	Client::GetPort	GAME/acclient/gmClient.obj	predicted	1	
0x00401DC0	0x00401C90	Client::SetPortA	GAME/acclient/gmClient.obj	verified	1	
0x00401DD0	0x00401CA0	Client::GetWorldName	GAME/acclient/gmClient.obj	predicted	1	
0x00401DE0	0x00401CB0	gmClient::vector_deleting_destructor	GAME/acclient/gmClient.obj	verified	1	
0x00401DF0	0x00401CC0	gmClient::vector_deleting_destructor	GAME/acclient/gmClient.obj	verified	1	
0x00401E00	0x00401CD0	Client::QueryInterface	GAME/acclient/gmClient.obj	verified	1	
0x00401E60	0x00401D30	Client::AddRef	GAME/acclient/gmClient.obj	verified	1	
0x00401E70	0x00401D40	Client::Release	GAME/acclient/gmClient.obj	exact	1	
0x00401EA0	0x00401D70	ReferenceCountTemplate<1048576,2>::Release	GAME/acclient/gmClient.obj	verified	1	
0x00401EC0	0x00401D90	gmClient::Cleanup	GAME/acclient/gmClient.obj	exact	1	
0x00402000	0x00401ED0	gmClient::Connect	GAME/acclient/gmClient.obj	verified	1	
0x00402020	0x00401EF0	gmClient::SetKeyMapFileName	GAME/acclient/gmClient.obj	exact	1	
0x00402070	0x00401A50	PStringBase<char>::operator=	GAME/acclient/gmClient.obj	exact	1	
0x004020C0	0x00401AA0	PStringBase<unsigned short>::PStringBase<unsigned short>	GAME/acclient/gmClient.obj	predicted	1	
0x004020E0	0x00401F40	UserPreferences::RegisterPreference	GAME/acclient/gmClient.obj	exact	2	Interface::IUnknown_QueryInterface
0x00402160	0x00401FC0	UserPreferences::RegisterPreference	GAME/acclient/gmClient.obj	exact	1	
0x004021E0	0x00402040	Client::SetHostName	GAME/acclient/gmClient.obj	exact	1	
0x00402230	0x00402090	Client::SetWorldName	GAME/acclient/gmClient.obj	exact	1	
0x00402280	0x004020E0	CommandLineArg::~CommandLineArg	GAME/acclient/gmClient.obj	exact	1	
0x004022D0	0x00402130	PStringBase<unsigned short>::allocate_ref_buffer	GAME/acclient/gmClient.obj	exact	1	
0x00402390	0x004021F0	PStringBase<char>::vsprintf	GAME/acclient/gmClient.obj	verified	1	
0x00402400	0x00402260	PStringBase<char>::Serialize	GAME/acclient/gmClient.obj	exact	1	
0x00402490	0x004022F0	PStringBase<unsigned short>::append_n_chars	GAME/acclient/gmClient.obj	exact	1	
0x00402520	0x00402380	PStringBase<unsigned short>::vsprintf	GAME/acclient/gmClient.obj	verified	1	
0x00402590	0x004023F0	ClassFactoryForceClient_ClassType::QueryInterface	GAME/acclient/gmClient.obj	verified	1	
0x00402620	0x00402480	ClassFactoryForceClient_ClassType::AddRef	GAME/acclient/gmClient.obj	verified	1	
0x00402630	0x00402490	gmClient::scalar_deleting_destructor	GAME/acclient/gmClient.obj	verified	1	
0x00402660	0x004024C0	ArgumentParser::CommandLineArgList::AddCmd	GAME/acclient/gmClient.obj	exact	1	
0x00402710	0x00402570	PStringBase<char>::sprintf	GAME/acclient/gmClient.obj	verified	1	
0x00402730	0x00402590	PStringBase<unsigned short>::PStringBase<unsigned short>	GAME/acclient/gmClient.obj	exact	1	
0x00402790	0x004025F0	PStringBase<unsigned short>::append_string	GAME/acclient/gmClient.obj	verified	1	
0x004027B0	0x00402610	PStringBase<unsigned short>::sprintf	GAME/acclient/gmClient.obj	verified	1	
0x004027D0	0x0047AAC0	ClassFactoryForceClient_ClassType::Release	GAME/acclient/gmClient.obj	exact	2	gmClient::gmClient
0x00402810				unmapped	0	
0x00402A90	0x004028B0	gmClient::BuildCommandLineArgs	GAME/acclient/gmClient.obj	exact	1	
0x00402DF0	0x00402C10	gmClient::EvaluateCommandLineArg	GAME/acclient/gmClient.obj	exact	1	
0x00402F60	0x00402D80	gmClient::OnCommandLineEvaluationDone	GAME/acclient/gmClient.obj	exact	1	
0x00402FE0	0x00402E00	gmClient::InitKeymap	GAME/acclient/gmClient.obj	exact	1	
0x00403170	0x00402F90	gmClient::InitPreferences	GAME/acclient/gmClient.obj	exact	1	
0x00403270	0x00403090	gmClient::InitAuth	GAME/acclient/gmClient.obj	exact	1	
0x00403350	0x00403170	PStringBase<char>::to_wpstring	GAME/acclient/gmClient.obj	exact	1	
0x00403490	0x004032B0	Client::SetAccountName	GAME/acclient/gmClient.obj	exact	1	
0x004034C0	0x004032E0	AC1Legacy::PStringBase<char>::set	GAME/acclient/gmClient.obj	exact	1	
0x00403560	0x00403380	AC1Legacy::PStringBase<char>::allocate_ref_buffer	GAME/acclient/gmClient.obj	exact	1	
0x004035E0				unmapped	0	
0x00403600	0x00403400	ClassFactoryForceClient_ClassType::CreateInstance	GAME/acclient/gmClient.obj	exact	1	
0x004036D0	0x004034D0	InterfacePtr<Interface>::_QueryInterface	GAME/acclient/gmClient.obj	verified	1	
0x00403770	0x00403570	InterfacePtr<Interface>::operator=	GAME/acclient/gmClient.obj	exact	1	
0x004037B0	0x004035B0	gmClient::InitUIPreferences	GAME/acclient/gmClient.obj	exact	1	
0x004049A0	0x004047A0	gmClient::Init	GAME/acclient/gmClient.obj	exact	1	
0x00404A40	0x00404840	PStringBase<unsigned short>::PStringBase<unsigned short>	GAME/acclient/gmClient.obj	exact	1	
0x00404AE0	0x004048E0	gmClient::RecvNotice_WorldName	GAME/acclient/gmClient.obj	exact	1	
0x00404B40	0x00404940	PStringBase<char>::cmp	GAME/acclient/BillingMigration.obj	exact	1	
0x00404BA0	0x004049A0	_STL::__node_alloc<1,0>::_S_chunk_alloc	GAME/acclient/BillingMigration.obj	exact	1	
0x00404CD0	0x00404AD0	PStringBase<char>::clear	GAME/acclient/BillingMigration.obj	verified	1	
0x00404D20	0x00404B20	PStringBase<char>::eq	GAME/acclient/BillingMigration.obj	verified	1	
0x00404D40	0x00404B40	PStringBase<char>::find_substring	GAME/acclient/BillingMigration.obj	exact	1	
0x00404D70	0x00404B70	PStringBase<char>::to_uint32	GAME/acclient/BillingMigration.obj	verified	1	
0x00404D90	0x00404B90	_STL::_STLP_mutex_spin<0>::_M_do_lock	GAME/acclient/BillingMigration.obj	exact	1	
0x00404E80	0x00404C80	_STL::__node_alloc<1,0>::_S_refill	GAME/acclient/BillingMigration.obj	exact	1	
0x00404EF0	0x00404CF0	PStringBase<char>::append_n_chars	GAME/acclient/BillingMigration.obj	exact	1	
0x00404F80	0x00404D80	PStringBase<char>::substring	GAME/acclient/BillingMigration.obj	exact	1	
0x00405000	0x00404E00	PStringBase<char>::set	GAME/acclient/BillingMigration.obj	exact	1	
0x004050D0	0x00404ED0	_STL::__node_alloc<1,0>::_M_allocate	GAME/acclient/BillingMigration.obj	exact	1	
0x00405120	0x00404F20	List<PStringBase<char> >::pop_front	GAME/acclient/BillingMigration.obj	exact	1	
0x004051C0	0x00404FC0	_STL::__node_alloc<1,0>::deallocate	GAME/acclient/BillingMigration.obj	exact	1	
0x00405210	0x00405010	List<PStringBase<char> >::flush	GAME/acclient/BillingMigration.obj	exact	1	
0x00405270	0x00405070	List<PStringBase<char> >::scalar_deleting_destructor	GAME/acclient/BillingMigration.obj	verified	1	
0x004052A0	0x00422A90	_STL::vector<char const *,_STL::allocator<char const *> >::_M_insert_overflow	GAME/acclient/BillingMigration.obj	exact	1	
0x004053A0	0x004050A0	PStringBase<char>::replace	GAME/acclient/BillingMigration.obj	exact	1	
0x00405560	0x00405260	kernel32_MultiByteToWideChar_Thunk	_runtime/msvcrt/thunk_kernel32_MultiByteToWideChar.obj	verified	1	
0x00405585	0x00405285	GetOrdinal	_runtime/msvcrt/resolve.obj	exact	1	
0x00405602	0x00405302	ImageEntryToDataC	_runtime/msvcrt/resolve.obj	exact	1	
0x0040563C	0x0040533C	strcmpiC	_runtime/msvcrt/resolve.obj	exact	1	
0x0040565F	0x0040535F	strncpyC	_runtime/msvcrt/resolve.obj	exact	1	
0x0040569E	0x0040539E	GetProcAddressInternal	_runtime/msvcrt/resolve.obj	exact	1	
0x00405702	0x00405402	driveandpathC	_runtime/msvcrt/resolve.obj	exact	1	
0x0040579D	0x0040549D	LoadGodot	_runtime/msvcrt/resolve.obj	exact	1	
0x00405A60	0x00405760	ResolveThunk	_runtime/msvcrt/resolve.obj	exact	1	
0x00405BB3	0x004058B3	GodotFailCreateFileW	_runtime/msvcrt/failure.obj	verified	1	
0x00405BC1	0x004058C1	GodotFailDeleteFileW	_runtime/msvcrt/failure.obj	predicted	1	
0x00405BEA				unmapped	0	
0x00405C68	0x00405975	GodotFailMultiByteToWideChar	_runtime/msvcrt/failure.obj	exact	1	
0x00405C96	0x004059A3	GodotFailWideCharToMultiByte	_runtime/msvcrt/failure.obj	verified	1	
0x00405CC4	0x004059D1	GodotFailGetClipboardData	_runtime/msvcrt/failure.obj	verified	1	
0x00405CED	0x004059FA	GodotFailIsClipboardFormatAvailable	_runtime/msvcrt/failure.obj	verified	1	
0x00405D81				unmapped	0	
0x00405DE0	0x00405AE0	CreateAndRunDebugWorkerThread	CORE/debug_common/Debug.obj	exact	1	
0x00405E60	0x00405B60	Turbine::Debug::SetDebugFlags	CORE/debug_common/Debug.obj	verified	1	
0x00405E80	0x00405B80	Turbine::Debug::GetDebugFlags	CORE/debug_common/Debug.obj	predicted	1	
0x00405E90	0x00405B90	Turbine::Debug::IsDebugFlagSet	CORE/debug_common/Debug.obj	verified	1	
0x00405EB0	0x00405BB0	Turbine::Debug::Abort	CORE/debug_common/Debug.obj	verified	1	
0x00405ED0	0x00405BD0	Turbine::Debug::ReportException	CORE/debug_common/Debug.obj	exact	1	
0x00405F30	0x00405C30	Turbine::Debug::Debug	CORE/debug_common/Debug.obj	verified	1	
0x00405F70	0x00405C70	ReferenceCountTemplate<1048576,0>::Release	CORE/debug_common/Debug.obj	verified	1	
0x00405FA0	0x00405CA0	Turbine::Debug::SetFloatingPointException	CORE/debug_common/Debug.obj	exact	1	
0x00405FF0	0x00405CF0	ProtectedDebug::ExceptionFilterThread	CORE/debug_common/Debug.obj	exact	1	
0x00406020	0x00405D20	RunInBackupStack	CORE/debug_common/Debug.obj	exact	1	
0x004060A0	0x00405DA0	Turbine::Debug::TurbineExceptionFilter	CORE/debug_common/Debug.obj	exact	1	
0x00406220	0x00405F20	Turbine::Debug::InitCommon	CORE/debug_common/Debug.obj	exact	1	
0x00406280	0x00405F80	Turbine::Debug::InitDebug	CORE/debug_common/Debug.obj	verified	1	
0x004062A0	0x00405FA0	Turbine::InplaceString<4096,char>::Init	CORE/debug_common/Debug.obj	exact	1	
0x00406300	0x00406000	Turbine::Debug::Init	CORE/debug_common/Debug.obj	exact	1	
0x00406390	0x00406090	_STL::__less_2<unsigned long,unsigned long>::operator()	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x004063B0	0x004060B0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::scalar_deleting_destructor	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x004063F0	0x004060F0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::begin	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406440	0x00406140	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::find_internal	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
